"spec_id","bandwidth","functional_form","covariate_set","coef","se","pval","ci_lower","ci_upper","n","n_clusters","sig_05","sig_10","rank"
43,0.15,"linear","demographics",68.2812475921948,39.7966771129386,0.0903916230240442,-11.0153625190069,147.577857703397,8793,75,FALSE,TRUE,1
41,0.15,"linear","none",68.3933157894202,39.9907028653232,0.0914131684560338,-11.2898990725931,148.076530651433,8793,75,FALSE,TRUE,2
42,0.15,"linear","baseline",69.6969926363546,39.7813495440459,0.0839162214145479,-9.56907662715302,148.963061899862,8793,75,FALSE,TRUE,3
48,0.15,"quadratic","demographics",71.0566980782039,40.0859257434524,0.0804089891492987,-8.81625251021809,150.929648666626,8793,75,FALSE,TRUE,4
46,0.15,"quadratic","none",71.1667436822462,40.2116182586406,0.0808789578955675,-8.95665470970681,151.290142074199,8793,75,FALSE,TRUE,5
45,0.15,"linear","full",71.7899838454034,38.8193441566148,0.0684029289219881,-5.55924784104933,149.139215531856,8793,75,FALSE,TRUE,6
47,0.15,"quadratic","baseline",72.3728125642882,40.0726428715821,0.0749783868184248,-7.47367132419114,152.219296452768,8793,75,FALSE,TRUE,7
44,0.15,"linear","district_fe",72.6717572688472,39.0460755078337,0.0666907121813023,-5.12924649663037,150.472761034325,8793,75,FALSE,TRUE,8
50,0.15,"quadratic","full",74.1275768623807,39.0681524342694,0.0616777567086308,-3.71741613925991,151.972569864021,8793,75,FALSE,TRUE,9
49,0.15,"quadratic","district_fe",75.1675726617371,39.217272357662,0.0591380041476257,-2.97454827326123,153.309693596735,8793,75,FALSE,TRUE,10
34,0.125,"linear","district_fe",85.5906421960658,42.9547921337378,0.0499964777867121,0.00135054313737726,171.179933848994,8326,75,TRUE,TRUE,11
31,0.125,"linear","none",85.6115035289253,44.018046890935,0.0555846460967881,-2.09636947417663,173.319376532027,8326,75,FALSE,TRUE,12
35,0.125,"linear","full",85.7213764983913,42.7152958698693,0.0484237033125181,0.609291568154234,170.833461428628,8326,75,TRUE,TRUE,13
