"muslim_share","pred_female0","pred_female1","diff","se_diff","ci_lo","ci_hi","significant"
0.05,28.4229258379006,26.4384263515352,-1.98449948636542,1.86994735488174,-5.64959630193363,1.68059732920278,FALSE
0.1,28.2381646460008,25.6342607292886,-2.60390391671218,1.86788381475672,-6.26495619363534,1.05714836021098,FALSE
0.15,28.0534034554857,25.5079846517404,-2.54541880374534,2.21123880413018,-6.8794468598405,1.78860925234982,FALSE
0.2,27.8686422668714,26.2620926976013,-1.60654956927006,2.53056492423979,-6.56645682078005,3.35335768223993,FALSE
0.25,27.683881080329,27.879497099415,0.195616019086067,2.87770617968192,-5.44468809309049,5.83592013126262,FALSE
0.3,27.4991198958129,30.2005799916028,2.7014600957899,3.27863190746523,-3.72465844284195,9.12757863442176,FALSE
0.35,27.314358713186,33.0089931762283,5.69463446304223,3.67538805819268,-1.50912613101541,12.8983950570999,FALSE
0.4,27.1295975322894,36.0899454366878,8.9603479043984,4.05530663094462,1.01194690774696,16.9087489010499,TRUE
0.45,26.9448363529733,39.2646902906181,12.3198539376448,4.47247536512968,3.55380222199058,21.0859056532989,TRUE
0.5,26.7600751751028,42.406736468618,15.6466612935152,4.97634306621313,5.89302888373743,25.4002937032929,TRUE
0.55,26.5753139985483,45.4415443352461,18.8662303366978,5.56811750988597,7.95272001732132,29.7797406560743,TRUE
0.6,26.3905528231736,48.3348340823564,21.9442812591828,6.23376223194563,9.7261072845694,34.1624552337963,TRUE
